0,labels
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
surprise,surprise
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
neutral,neutral
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
calm,calm
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
happy,happy
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
sad,sad
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
fear,fear
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
disgust,disgust
